"Zee School, South Bangalore",1,66,12.9334399,77.6378,School,School,High School
"St. Norbert International School, Bangalore",0,337,12.9833,77.5833,Education,High School,Education
Kids' choice Play School Bangalore,6,225,13.0620003,77.6510315,School,School,School
"St. Paul's English School, Bangalore",105,198,12.9148,77.5963,Local Business,High School
Okinawan Karate School Bangalore,2,875,12.95449,77.55584,Education,Martial Arts,Education,Education
Bangalore Higher Secondary School,99,814,12.948075,77.58003,School,High School,School
"Immanuel High School ,nagavara Bangalore",8,186,13.03338,77.61928,Education,Education,High School
Global Residential Schools Bangalore,65,451,13.01623,77.76486,Education,Educational Service,Education
"IFIM B School, Bangalore IFIM B School, Bangalore Admissions",5,809,12.85523,77.66706,Education,Education
Natyanjali Bangalore / Natyanjali School of Dance/ Natyanjali Trust,5,52,12.89919,77.58588,School,School,School
Christ school bangalore,2081,1921,12.9308099,77.60334,School,High School,School
"Vidyanikethan English School, Avalahalli, Bangalore.",88,492,13.03778,77.73839,School,Educational Organization,School
School of India,15,8277,12.813182260861,77.58261680603,School,School,Education
"Narayana IIT Olympiad School, HSR Layout Bangalore",41,353,12.91251,77.66575,School,School,Education
St vincent pallotti school bangalore- Alumni,42,717,13.02283,77.64843,Local Business,Junior High School,School
Schoolexpertz,0,5118,12.92603,77.58604,Education,Education,Education
SchoolEngg,1,2080,12.90629,77.54658,Education,Education
"JES Public School - Twinklers School , Bangalore",35,514,12.9502096,77.5024719,Education,School,Education
Holy Mariam Convent High School Bangalore,10,153,12.9833,77.5833,Education,Education,High School
"Little Flower Public School, Bangalore - 560085",15,1008,12.91671,77.6042,School,School,School
"Army School Bangalore, Batch of (1998-2001)",54,69,12.98448,77.6118,Education,Education,High School
St.John's High School (Bangalore) Alumni Association,181,1844,12.99064,77.61377,School,School,School
WeSchool Bangalore |Helpline|,143,645,12.842913347836,77.663019124349,Education,Educational Organization,Education
"Indian Academy School of Management Studies, Bangalore",134,754,13.03594,77.64002,University,College & University
"St Germain High School and P.U. college,Bangalore",55,401,13.008340315536,77.600502432636,School,High School,School
"Emmanuel Sugnana Jyothi High School, Kammanahalli Bangalore",143,397,13.0149,77.63285,School,School,High School
Good hope english high school chinnapa  garden  bangalore,1,70,13.00497,77.6031,School,School,School
Little Orkids Pre School Bangalore,1,32,12.976519674704,77.595224372373,Education,Education,Education
"St Pauls English High School , Bangalore",81,2106,12.91463,77.59695,Education,High School,Education
Bangalore Chapter Ohara School of Ikebana,2,253,12.994395,77.757705,Non-Profit Organization,Education
"London School of Commerce, Bangalore",616,10937,12.9833,77.5833,Education,Education,Technical Institute
Vidyaniketan Public School,330,81,12.966666666667,77.566666666667,City,City,High School
"C f andrews school, bangalore",18,18,13.01063,77.6142,Education,High School,Education
"International School of Business & Media, Bangalore",1,193,13.23014,77.25037,Education,College & University,Education
Greenfield Public School,6,1713,13.09669,77.61869,Education,Education
Millennium School of Business - MBA BCom BBA College Bangalore India - MSOB,12,4552,12.94465,77.597,Education,College & University,Education
"St. Antony's Primary School, R M Nagar, Bangalore",77,1397,13.01327,77.66219,Education,Education,Education
Bangalore Horse Riding School,27,21,13.06982756,77.61219026,Sports/Recreation/Activities,Sports Club,Horses,Outdoor Recreation
Our Lady of Bon Secours Girls High School Bangalore,13,631,12.99668,77.62209,School,School,School
Nathaniel School Of Music,341,41770,12.95783,77.60361,Education,Musician/Band,Music Lessons & Instruction,Music Production
"Indiranagar High School, Indiranagar, Bangalore",61,1401,12.972485,77.6339806,School,High School,School
"S.S.R School of Management Studies, Bangalore",365,590,12.9833,77.5833,Education,Education,Education
"Sophia High School, Bangalore",5577,1167,12.986472046891,77.58740080645,Local Business,Public School,High School
"Laxminarayan School of Music and Meditation - Bangalore, India",3,830,12.9833,77.5833,School,School,School
"Patanjali school of Ashtanga Yoga & Research. Whitefield, Bangalore",1,67,12.97123,77.7493,Health/Beauty,Yoga & Pilates,Professional Service
"Seventh Day Adventist School, Jalahalli, Bangalore - 560015",12,403,13.0544596,77.538063,Education,Education,Education
Nurture International Pre-school - South Bangalore,3,184,12.88598,77.58555,School,School,Day Care
