The Moody Chef Bangalore,10,150,12.91131,77.63515,Restaurant/Cafe,Indian Restaurant
"Chef Baker's Kadugodi, Whitefield, Bangalore",49,95,13.00557,77.73291,Food/Beverages,Bakery
Chef Bakers,1005,7799,12.967337547778,77.716584711111,Food/Grocery,Bakery,Fast Food Restaurant,Ice Cream Parlor
Cheffu 'n' Stuffu,268,440,12.926373803333,77.514904838333,Restaurant/Cafe,Continental Restaurant,Cafe,Fast Food Restaurant
Chef Happy,158,2120,12.96057457,77.7389689,Arts/Entertainment/Nightlife,Culinary School,Food & Restaurant,Entertainment Service
The Fat Chef,5536,8736,12.95703,77.73688,Restaurant/Cafe,Gastropub,Wine Bar,Continental Restaurant
ChefSocial,0,392,12.96643,77.58721,Food/Beverages,Food/Beverages
Chefkraft.com,0,4902,12.97489,77.63459,Food/Beverages,Food/Beverages
Chef Image,0,280,12.9593399,77.69242,Consulting/Business Service,Consulting/Business Service
Chef Land,25,1486,13.0184803,77.6366196,Restaurant/Cafe,Food & Restaurant
Master's Chef,153,638,12.9055581,77.7000692,Restaurant/Cafe,Chinese Restaurant,Indian Restaurant
Chefs@Work,61,712,12.91304,77.64462,Consulting/Business Service,Consulting/Business Service
"The Chef's Corner, Bangalore",4,0,12.9833,77.5833,Local Business,Restaurant
"Crazy Chef, Bangalore",3,1,12.9878199,77.57911,Local Business,Restaurant
Cheffy Treats,0,36,12.89333,77.6385,Food/Grocery,Cooking Lesson
Chef & Butcher - The Specialty Fish & Meat Shop,3,20,12.842943953666,77.639924883842,Local Business,Butcher Shop
Chef's Creation,26,125,12.97291,77.69864,Hotel,Hotel,Continental Restaurant
"TechChefs Software Pvt. Ltd.,",46,721,12.93178,77.58614,Computers/Technology,Computers/Technology
Chefbakers.,14,31,12.9672538,77.716459,Restaurant/Cafe,Coffee Shop,Dessert Place,Bakery
Southern Chefs,0,91,12.8858599,77.7444,Food/Grocery,Health Food Restaurant
PhotoElectricChefs,0,334,12.99906,77.57224,Company,Engineering Service
Master Chef Party Catering Bangalore,2,56,12.9833,77.5833,Local Business,Caterer
The Chef's Hospitality Services,0,14,13.01822,77.64251,Food/Grocery,Food & Beverage Service & Distribution
Chef Alok Sinha,1,129,12.95934,77.69242,Food/Beverages,Food/Beverages
"Parantha Chefs, Corporate Deliveries",0,86,13.02415,77.63553,Food/Grocery,Food & Beverage Service & Distribution,Food Stand,Food Truck
Chef's Stand,0,11,12.9878597,77.5888214,Restaurant/Cafe,Take Out Restaurant,Fast Food Restaurant,Grocery Store
The Rolling Chef,6,296,12.89333,77.6385,Restaurant/Cafe,Fast Food Restaurant,Indo Chinese Restaurant,Food Truck
Miss Chefy's Cooking Classes,0,254,12.9314003,77.6846085,Local Business,Cooking Lesson
The Runaway Chef,12,1053,13.0597897,77.6217117,Food/Beverages,Food & Beverage Service & Distribution
Chef & Butcher - The Specialty Fish & Meat Shop,2,16,12.869119823208,77.597578167915,Local Business,Butcher Shop
Young Chefs' Weekend Workshop,0,105,12.9632397,77.70784,Food/Grocery,Grocery Store,Education
Home Chef,0,12,12.9033,77.58528,Food/Grocery,Food & Restaurant
Cafe Chef Bakers 100ft,206,504,12.97797,77.6399,Restaurant/Cafe,Cafe,Bakery
Umerkot by Chef Sanjay Tyagi,30,306,12.93142114,77.63266085,Restaurant/Cafe,Restaurant
Bat Chef,5,571,12.96437,77.63753,Food/Beverages,Food/Beverages
Chef Saab,2,200,12.9833,77.5833,Restaurant/Cafe,Fast Food Restaurant
The Vintage Chef,0,192,13.05024,77.59759,Restaurant/Cafe,Indian Restaurant,Health Food Restaurant
The Pampered CHEF,0,92,12.84871,77.67762,Professional Service,Professional Service,Cooking Lesson,Bakery
ProChef,1,19,12.86233,77.43308,Food/Beverages,Food/Beverages
Dumpling CHEF,0,19,13.02447,77.5958799,Food/Grocery,Food/Grocery
The Buff Chef,2,611,13.0584497,77.6011505,Food/Grocery,Health Food Store,Health Food Restaurant
ConnectingChef,0,498,12.9561005,77.7178879,Food/Beverages,Restaurant
