Amruth Commercial Kitchen Equipments.,0,185,12.93407,77.54762,Local Business,Professional Service
ABB,1107,414371,12.96643,77.58721,Industrials,Commercial & Industrial Equipment
"Peenya Ind. Estate, Phase II",3131,91,13.01401,77.50901,Local Business,Commercial & Industrial Equipment
ShakeDeal,3,34360,12.96344,77.58147,Internet/Software,Commercial & Industrial Equipment,Startup
"Peenya Industrial Area, Bangalore",1380,169,12.9833,77.5833,Transportation,Commercial & Industrial Equipment,Workplace & Office
Stock Redler India Pvt. Ltd.,7,4,13.039050151882,77.530341893435,Local Business,Commercial & Industrial Equipment
Sa Commercial Kitchen Equipments,0,7,13.0295,77.54018,Industrials,Industrials
Steelsparrow,0,658,12.9833,77.5833,Industrials,Commercial & Industrial Equipment
imperial fasteners,4,755,12.982756362301,77.589908963013,Automotive,Commercial & Industrial Equipment,Automotive
Semiconductor Devices and Controls,2,2857,13.02236,77.59412,Company,Commercial & Industrial Equipment
M.m gauges & tools,0,745,12.95642,77.60225,Automotive,Commercial & Industrial Equipment,Equipment Service & Supply,Automotive
Commercial Kitchen Equipments,0,0,12.9833,77.5833,Food/Grocery,Food/Grocery
Sri Ganesh Commercial Equipments Pvt Ltd,0,2,13.00859,77.5488,Business Service,Business Service
