Seine Product Design Pvt Ltd,1,480,12.9247799,77.6380234,Aerospace/Defense,Engineering Service,Business Supply Service
ProductSC,0,89,12.97303,77.6792,Education,Educational Service,Education
Repair Almost Any Electronis Product,0,23,12.98272,77.76426,Professional Service,Professional Service
Shine & glow  baby product,0,3,12.94266,77.59983,Business Service,Business Service
