Building Materials Bangalore,0,76,13.0497,77.58951,Shopping/Retail,Wholesale & Supply Store,Apartment & Condo Building
Centre for Green Building Materials and Technology (CGBMT),67,3309,13.073434321712,77.620384901944,Non-Governmental Organization (NGO),Non-Governmental Organization (NGO)
Vijaya Building Materials,1,56,12.9833,77.5833,Engineering/Construction,Home Improvement
Suppliers of building construction materials,1,15,12.99431,77.50526,Transportation,Portable Building Service
SPEED STONE M-Sand & Building Material Supplier,0,6,12.95925,77.4047,Local Business,Transportation Service
Realty Building Materials and Construction,0,0,12.98528,77.59642,Local Business,Real Estate Agent
