Mangalore Chemical,0,5,12.99429,77.54735,Chemicals,Chemicals
Colour Concepts,0,0,12.98321,77.60939,Chemicals,Chemicals
Somar Corporation India,0,2,12.92533,77.61529,Chemicals,Chemicals
Metlok Private Limited,0,0,12.80351549199,77.662460803986,Chemicals,Chemicals
GraphCarbon,0,0,12.99581,77.61622,Business Service,Chemicals,Gas & Chemical Service
Kritika chemicals corporation,0,139,13.02612,77.58896,Local Business,Professional Service
Eco Chemicals,0,2,12.941804980417,77.558480539598,Business Service,Business Service
Sk chemicals,1,1,12.9833,77.5833,Home Improvement,Home Improvement,Home
Mathaji Chemicals,0,0,13.0569401,77.5828094,Business Service,Business Service
Ecolab Chemical .Co .Ltd,0,1,12.96765,77.58987,Chemicals,Chemicals
Sri neelam chemicals,0,4,12.97392,77.55999,Medical & Health,Medical & Health
Rajlakshmi plastic and chemicals,0,0,12.9087599,77.57299,Local Business,Local Business
