Banashankari Organics Food Shoppee,1,504,12.9833,77.5833,Food/Grocery,Fruit & Vegetable Store,Health Food Store
Banashankari Organic Food Shoppee,0,324,12.92835,77.55034,Food/Grocery,Food/Grocery
Nisarga Shoppe,2,82,12.9561005,77.7178879,Food/Grocery,Health Food Store,Fruit & Vegetable Store
Cake Toppers Shoppe Bangalore,11,1292,12.9391003,77.6233215,Food/Grocery,Grocery Store,Education
Annapoorna Shopping Corner,1,38,13.0008199,77.57538,Food/Grocery,Grocery Store
The Scrumptious Cake Shoppe,2,253,12.946737717816,77.576240425873,Food/Grocery,Bakery,Cupcake Shop
"Kylie's, The Bao Shop",278,617,12.95526,77.65467,Food/Beverages,Fast Food Restaurant,Asian Fusion Restaurant
Lassi Shop - BTM Layout,88,149,12.913771845,77.608069335,Food/Grocery,Food/Grocery
Mimi's Kolkata Sweet Shop,8,350,12.925176316331,77.638344293404,Food/Grocery,Fast Food Restaurant
"Bells and Candles BSK, The Cake Shop",4,178,12.92398,77.56744,Food/Grocery,Bakery,Take Out Restaurant
Hasiru - Organic Green Shop,15,364,12.85939,77.56852,Food/Grocery,Health Food Store
Cake Bake Shop Bangalore,6,17,12.9892,77.75466,Food/Grocery,Grocery Store,Bakery
African Shop in Bangalore,0,18,13.06434,77.64854,Food/Grocery,Grocery Store,African Restaurant
Our little cake shop,5,623,12.927733039631,77.518068676757,Food/Beverages,Residence,Bakery
Bakery Shop,0,28,12.96643,77.58721,Food/Grocery,Bakery
Fuel Juice Shop,0,54,13.03337,77.6316,Food/Beverages,Food/Beverages
YouMart,75,4927,12.97354,77.66567,Food/Grocery,Grocery Store
Licious,60,6810,12.97661,77.63096,Food/Beverages,Butcher Shop,Supply & Distribution Service
Bite Me,622,24444,13.0173998,77.6516495,Food/Beverages,Cupcake Shop,Bakery
Warm Oven,120,8910,12.95577,77.63755,Food/Beverages,Cupcake Shop,Bakery
Baking Express,106,5080,12.99335109,77.68333605,Food/Grocery,Cupcake Shop
Itsy Bitsy Bytes - Homemade Customized Cakes,30,6070,13.008326954798,77.562432413864,Food/Grocery,Cupcake Shop,Bakery
Sublime House of Tea,18,116902,12.8870697,77.5943222,Food/Beverages,Coffee Shop
Zoroy Luxury Chocolate,120,4702,12.975673281695,77.602212255764,Food/Beverages,Cupcake Shop,Bakery
Luv Cakes,57,21371,12.9704282,77.6066896,Food/Grocery,Cupcake Shop,Bakery
