Alliance University Library,24,492,12.72955,77.7255,Library,Library
Peoples Library,0,36,12.91947,77.59771,Non-Profit Organization,Library
Eloor Library Bangalore,1,1,12.9833,77.5833,Local Business,Arts & Entertainment
"Just Books Library at Yelahanka, Bangalore",25,461,13.1006699,77.5816399,Library,Library
Easy Library,38,2322,12.9833,77.5833,Library,Library
Cosy Nook Library,0,173,12.96762,77.59988,Library,Library
Quills Library,149,597,12.98736,77.57615,Library,Library,Book & Magazine Distribution
Rainbow Club Kidz Library,1,199,13.00257,77.5663299,Library,Library,Arts & Entertainment
Easy Library Koramangala,81,314,12.9526657,77.6538374,Library,Event Venue,Library
"Library, KLE Law College, Bengaluru",12,22,12.99005,77.55254,Library,Library
Funrento- An exclusive toy library and gifting store,0,862,12.95696,77.70117,Library,Toy Store,Library,Gift Shop
i-CUE Children's Library,808,1365,12.989130496554,77.589259853825,Organization,Organization,Library
SJBIT Library and Information Centre,0,45,12.89164,77.47677,Education,Library,Education
Tailorbird Children's Library & Learning Centre,14,209,12.96126,77.71581,Education,Library,Education,Education
Unnati library electronic city,3,71,12.85523,77.66706,Library,Library,Toy Store
Unnati library sarjapur,1,50,12.91251,77.66575,Library,Library
The Food Library,7,146,12.9833,77.5833,Restaurant/Cafe,Restaurant,Caterer,Library
Pustaka Lending Library,12,346,12.9833,77.5833,Library,Library
Nhce Library and Information Center,3,135,12.92735,77.67185,Education,Library,Education
Just Books Koramangala Library,4,944,12.929601345,77.632711225,Library,Library
Shri Sheshadri Sundara Ragavan Memorial Astrological Library,0,27,13.02404,77.6359,Library,Library,Professional Service
Hangout,108,2718,12.928401587658,77.671805620193,Library,Library,Classes
State Central Library,563,61,12.974206,77.590587,Local Business,Library
Loving Father,151,553,12.96549,77.6096,Library,Library
Words Work,30,551,12.9089203,77.6637878,Company,Library
JustBooks BTM Layout,78,3022,12.91332825479,77.605658894348,Library,Library
Justbooks Kothanur,34,115,13.05988,77.6423499,Library,Library
HUM Hindustani,347,99,12.9833,77.5833,Library,Library
NUK,35,778,12.91184,77.68208,Library,Library
ThinkBox,45,763,12.97391,77.6627,Library,Library
"Sarjapura Road Toastmasters Club, Bangalore",45,110,12.8820599,77.673,Community Organization,Community Organization
Poetry MY LIFE,1,778,12.93388,77.56766,Library,Library
Bangalore Library,1,0,12.996924908146,77.619293937995,Local Business,History Museum,Library
IIM-Bangalore Library,4,3,12.896065813953,77.601025581395,Local Business,Library
Mdc Library Bangalore,2,0,26.8315917,80.9201376,Local Business,Library
Library Bar @ The Leela Palace Bangalore,8,1,12.961421326063,77.648855657683,Local Business,Library,Bar
"Nimhans Library, Nimhans, Hosur Road. bangalore. 560029",7,8,12.951049148658,77.591881782223,Local Business,Hospital/Clinic,Library
My LoVe quotes,41,4000,12.9442299,77.50433,Library,Library
"United Theological College Library ,Bangalore",2,0,12.95375498637,77.499108364356,Local Business,Library
Punniabhoomi Layout Kalkere Bangalore 43,5,1,13.03074556,77.67390779,Local Business,Library
"State Public Library, Bangalore",3,1,12.97614,77.5946579,Local Business,Library
Central Library South Bangalore,2,0,12.935791248456,77.581064142287,Local Business,Library
MeritPlus,0,44,13.00025,77.57137,Education,Education
"ALLEN Career Institute, Bengaluru",463,7576,12.936113406032,77.580835819244,Education,Education,Education
Reading Room - My Little Chatterbox,2310,4394,12.911377232012,77.597723007202,Library,Library,Classes
Pure Expo Collections,1,1363,12.89707,77.57982,Local Business,Men's Clothing Store
PGEI Medical India Pvt. Ltd.,0,432,12.9523,77.58198,Education,Education,Education
Samvada,18,795,12.92896,77.5819999,Non-Governmental Organization (NGO),Youth Organization,Agricultural Service,Social Services
MLCB Phonics,24,1035,12.91417,77.59688,Education,Library,Language School,Classes
Dream Mark Entertainment,2,696,12.96538,77.63435,Event Planner,Wedding Planning
The Bookkads,0,395,12.966545311498,77.525871992111,Book Store,Book Store,Library,Startup
Siddi Creations,13,440,12.97407,77.59052,Shopping/Retail,Fashion Designer
KYTS,1,91,13.05988,77.6423499,Professional Service,Professional Service
Visionary Stores,1,50,12.9530001,77.5304108,Book Store,Book Store
JustBooks Sarjapura,15,59,12.91534,77.6744499,Library,Library
Just Books Library at Malleshwaram,21,660,12.9740322,77.6360097,Library,Library
Untold Stories,30,2278,12.95708,77.69974,Library,Library,Arts & Entertainment
JustBooks CLC,0,20891,12.90806,77.57071,Library,Library
British Council Library,467,361,12.974161990782,77.597019547035,Local Business,Library
Justbooks at HSR,39,448,12.914629517367,77.651678323746,Library,Library
JustBooks Rajajianagar,98,401,12.9833,77.5833,Library,Library
Bookz Junction,35,284,13.0162401,77.6361694,Library,Library
"Planet V, isro Layout",19,1161,12.91332,77.5283199,Library,Library
Banaglore,160,142,12.9834003,77.6740243,Library,Library
BOOK CHUM,0,101,12.96577,77.75067,Library,Library
Goobe's Book Republic,109,1971,12.975612933046,77.602386616831,Book Store,Library,Book Store
Daffodils,20,524,12.984178181463,77.589565640259,Library,Library
CORE JAVA Basics,1,9331,12.92801,77.6074,Library,Library
Let's Just Borrow,1,433,12.895930913362,77.559914588928,Library,Library
"Ranade Library, IISc",0,172,13.0150530026,77.560472488403,Library,Library
Thoughts Library,32,271,12.91673,77.5184699,Library,Video Game,Library
Just Books Clc - Big Fish Banashankari \ Rajarajeshwari Nagar,113,452,12.93623,77.51564,Library,Library
A closer walk with God,51,45,12.9833,77.5833,Library,Library
Semantic Consulting Services Pvt. Ltd.,0,84,12.92988,77.5619,Internet/Software,Library,Business Service
Medical Lab Technician,1,555,13.0338999,77.58899,Library,Library,Medical Lab
Techrows,0,246,12.9312,77.54716,Library,Library
PROF B A SHRIDHARA MEDIA LIBRARY,2,432,12.98508,77.57502,Library,Library
BookLeaze,0,588,13.0191199,77.63945,Library,Library
Kumar English post collection,1,913,12.9283304,77.533577,Library,Library
Spellbond library,0,402,12.9981,77.5531,Library,Library
Any Idea?,2,369,13.036397562908,77.565042972565,Library,Library
LOCAL V/S  BRAND,1,331,12.9833,77.5833,Library,Library,Clothing Store
Sikhlopedia,0,249,12.89501,77.55518,Library,Library
Sanket_Tookitaki,0,15,12.91949,77.6251599,Local Business,Library
Justbooks Frazer Town,2,83,12.99809,77.60896,Library,Library
Rajs world,0,570,12.99238,77.69167,Library,Library
"Book Hub- ""The sweetest addiction""",0,381,12.9581,77.6675,Library,Library
