Bodycraft Spa & Salon,996,29083,12.935496155455,77.614161477273,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Nash Jack Unisex Saloon,565,416,13.025398525714,77.586302625714,Local Business,Spas/Beauty/Personal Care
Palace Guttahalli,2312,91,13.000088863646,77.581564667989,Local Business,Spas/Beauty/Personal Care
Peaches Salon Bangalore,37,627,12.97612,77.61758,Health/Beauty,Spas/Beauty/Personal Care
Makeover Magic by Laksha,59,377,13.03052152,77.68250593,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Areev,70,9517,12.9562798,77.6373978,Health/Beauty,Spas/Beauty/Personal Care
Walk In Beauty Thai Day Spa & Beauty Salon,93,15273,12.97159,77.64715,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Face Look,110,29,12.96095,77.59744,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
"Naturals Unisex Salon & Spa,  Koramangala",168,1275,12.9833,77.5833,Health/Beauty,Spas/Beauty/Personal Care
Angsana Oasis Spa & Resort,1004,60,13.182598518359,77.559222053134,Local Business,Spas/Beauty/Personal Care
In Style Salon,38,618,12.93981,77.61814,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Fsansaria Unisex Parlor & Hairfixing,906,359,12.9833,77.5833,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
D&M Salon and Spa,57,7782,12.9027,77.66104,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
The Getaway,436,184,12.8506561,77.6582586,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Mili Kotian,101,1282,12.9833,77.5833,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
HEADZ Hairfixing,18,7552,12.91551,77.56535,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Lyga's Enterprise S.a,1,3481,13.05054,77.73044,Retail and Consumer Merchandise,Spas/Beauty/Personal Care
StayGlad,7,11107,12.9585505,77.6652069,Health/Beauty,Spas/Beauty/Personal Care
The Buddha SPA,165,118,13.0046196,77.6199493,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Healthy Skin with Herbalife Skin,25,1752,18.595322441709,73.813940932662,Health/Beauty,Spas/Beauty/Personal Care
Tibet Salon & Spa,125,1823,12.934424962795,77.616019368311,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Pallavi Idoor - Professional Make up artist / Hair stylist,20,2169,13.02622,77.59642,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Say Cheez Salon,15,134,12.921688190411,77.668447494507,Health/Beauty,Spas/Beauty/Personal Care
NOBLE family saloon & spa,90,1244,12.8991083,77.58489,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
BGlam.in,0,5620,12.95934,77.69242,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
GGREENLADY Divine skin care products.,192,781,12.96294,77.64171,Health/Beauty,Spas/Beauty/Personal Care
High Gloss Salon,485,832,13.0165466,77.6390842,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
NOBLE  family saloon & spa,134,1057,12.9365902,77.6157303,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Shreya & Chandini Asrani - Makeup & Hair,0,31389,12.9804,77.58581,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Signora salon spa,126,6506,12.9703999,77.6463394,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Soaps By SanGi,3,5334,13.01199426,77.64721927,Health/Beauty,Spas/Beauty/Personal Care
Gomalon,0,2914,12.97951,77.63792,Health/Beauty,Spas/Beauty/Personal Care
Fabellus - Salon & Spa at Doorstep,1,4166,12.926644828248,77.617163658142,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Isthaa,6,5784,19.85385825,75.32783555,Local Business,Spas/Beauty/Personal Care,Education
HOP salon church street blr,8,755,12.97475,77.60596,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Nikki Makeup Studio,82,10747,13.00188,77.59574,Professional Service,Spas/Beauty/Personal Care
JaynagarNaturals,10,822,12.9421,77.59677,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Sushrutha Glamour Beauty Parlour,1,1618,12.91293,77.6100699,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Arome,0,731,12.916697356862,77.621226031405,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Suffuse,3,144,12.95744,77.59751,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Glamour Us by Dhedeepya,1,413,12.94605,77.57374,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care
Panache,0,1006,12.9355969,77.6201333,Health/Beauty,Spas/Beauty/Personal Care
D5N Beauty Lounge,300,1177,13.0084,77.5667,Spas/Beauty/Personal Care,Spas/Beauty/Personal Care,Arts & Entertainment
