SOLAR Bangalore,0,812,12.9701595,77.6565323,Local Business,Solar Energy Service
Amrita Powerlifting club Bangalore,0,101,12.96643,77.58721,Energy,Sports & Recreation
Elmeasure India Pvt Ltd,35,839,13.14937,77.69265,Energy,Energy
M/s.MM Solar Systems  Bangalore,0,137,12.89047,77.52557,Energy,Solar Energy Service
Green Iridium Pvt Ltd,0,15,12.95405,77.55815,Energy,Energy
Trion Solar Powers,14,109,13.02924,77.56112,Energy,Energy
Ravano Solar India Private Limited,0,122,13.07142,77.55237,Energy,Solar Energy Service
Energy solar solutions,1,371,13.38015,78.0421999,Business Service,Solar Energy Service,Business Service
SWIBE,2,1503,12.97561,77.53117,Energy,Solar Energy Service
LED lights Bangalore,0,167,12.9172297,77.6341705,Energy,Lighting Fixtures
SELCO SOLAR,42,2827,12.903343768268,77.585865827053,Local Business,Solar Energy Service
Re-PowerGrid,0,103,12.983335898915,77.583212256432,Energy,Solar Energy Service,Electronic Equipment Service
Kaveri Tanks,2,4558,12.948505,77.58011,Energy,Energy
APS Bengaluru,2,313,12.9527197,77.5462265,Energy,Solar Energy Service
Appollo Solar Systems,2,183,13.03049,77.59094,Energy,Solar Energy Service
Green Ecotech Solarenergies,8,1941,13.0425,77.54966,Energy,Energy
albright LEDS,0,220,12.9946,77.5913099,Energy,Energy
Orange plus LED,4,1356,12.97913,77.64467,Energy,Energy
Sunlifesplus solar systems,15,297,12.86961,77.57518,Company,Solar Energy Service
Energy Tennis Center - ETC,6,327,13.12598,77.49131,Sports Venue,Sports Venue
Rajamane Telectric Pvt. Ltd.,0,1202,12.9963198,77.7162704,Small Business,Solar Energy Service
UPS Manufacturers Bangalore,0,126,13.0289497,77.5563126,Energy,Professional Service
Energon Power Resources Private Limited,1,799,12.98206,77.59917,Energy,Energy
SunMoksha,0,319,12.90706,77.57986,Energy,Energy
Social Equity Advisory Services,1,953,12.959373905,77.642830981667,Company,Solar Energy Service,Disabled Persons Service,Environmental Consultant
