UrMedic India,0,52,12.95424,77.64837,Health/Medical/Pharmaceuticals,Doctor
AnyMedic,0,679,12.928673465986,77.623472213745,Health/Medical/Pharmaceuticals,Medical & Health
MEDIC CARE Health Solutions,0,15,13.01033,77.69759,Health/Medical/Pharmaceuticals,Health/Medical/Pharmaceuticals
Against medical corruption,0,3727,12.9981,77.5531,Education,Education
"Sarvodaya College of Nursing, Bangalore",625,7783,12.9794076,77.5393016,Education,Medical School,Nursing,Education
Invest on Health,252,8479,13.065171129557,77.585921287537,Health/Medical/Pharmaceuticals,Medical & Health
Rajarajeswari Medical College and Hospital,3205,10064,12.893244338462,77.464287038205,Education,Medical School,Education
Mazumdar Shaw Medical Foundation,459,19171,12.806938166667,77.694779306667,Non-Profit Organization,Non-Profit Organization
Clipocruit Job Placements & Career Counselling,2,4070,12.9833,77.5833,Company,Medical & Health
Gunasheela,34,4154,12.924961255545,77.627785205841,Hospital/Clinic,Medical Center,Hospital/Clinic
Inspire Speciality Clinic,2,2277,13.02111,77.53095,Medical & Health,Medical Center
AyurCentral,3,3235,12.96643,77.58721,Medical & Health,Medical & Health
Brown Packet,0,4556,12.91949,77.6251599,Medical & Health,Medical & Health
Manipal Ankur,567,50142,13.000117977778,77.549787733333,Health/Medical/Pharmaceuticals,Medical & Health
HealthKhoj,0,4308,12.958980816064,77.644210234658,Health/Beauty,Medical & Health
St. John's Medical College,5929,1977,12.929003326764,77.618002169685,Local Business,Medical School
Acharya Institutes Of Technology,43433,4503,12.9777026,77.5699037,Education,Medical School,Technical Institute,School
Pure Water House,0,7046,13.00422,77.62643,Medical & Health,Medical & Health
Saralhealth,0,5951,12.88585,77.60239,Internet/Software,Medical Supplies,Medical Lab
Direct Admission In Engineering &  Medical,0,4580,13.0320301,77.5672607,Consulting/Business Service,Education
National Institute of Mental Health and Neurosciences,3826,3808,12.93955556,77.59880556,Local Business,Medical School
Total Medical Tourism,0,6065,12.88624,77.60292,Health/Medical/Pharmaceuticals,Health/Medical/Pharmaceuticals
Himalaya Personal Care,3644,246235,12.9833,77.5833,Health/Beauty,Medical & Health
3M Health Care India,16,117984,12.96953,77.59453,Health/Medical/Pharmaceuticals,Medical & Health
Activ Doctors Online India,4,59943,12.963983758607,77.638996839523,Health/Medical/Pharmaceuticals,Medical & Health
Forus Health,53,31599,12.9398233,77.566852,Health/Medical/Pharmaceuticals,Medical & Health
Migrocure,0,9492,13.00933,77.73462,Health/Beauty,Medical & Health
Healthiply.in,35,110869,12.91452,77.63383,Health/Medical/Pharmaceuticals,Medical & Health
Lifezen Healthcare,0,17350,12.98027,77.58578,Health/Beauty,Medical & Health
IndoGlobe medical & healthcare services,0,3246,12.9994,77.6159799,Health/Medical/Pharmaceuticals,Tours & Sightseeing,Medical & Health
Portea Medical,549,783369,12.96089486919,77.635764008331,Health/Medical/Pharmaceuticals,Healthcare Administrator
EClinic 24/7,0,15739,12.962248160849,77.649124860764,Medical & Health,Medical & Health
GE Healthcare India,154,12866,12.99155809,77.747044931667,Company,Medical Equipment
"Unigauge.com - Medical, Dental & Engineering Entrance Exams",6,30214,12.966294385032,77.596521377563,Education,Educational Service,Education,Dentist
Health Heal,20,13160,12.983404545575,77.583385830688,Health/Medical/Pharmaceuticals,Medical & Health
Zotey,0,9860,12.98133,77.64422,Health/Medical/Pharmaceuticals,Medical & Health
DocsApp - Consult Doctor on Chat,0,11198,12.96461,77.64154,Health/Medical/Pharmaceuticals,Medical Center,Doctor
